architecture,dataset,conv_compression,conv_activation,fc_compression,fc_activation,best,mean,accuracies,cost
LeNet5,MiniMNISTDataset,BINARY,NONE,BINARY,NONE,92.625,91.95,"[92.125, 91.75, 92.375, 90.875, 92.625]",33354.0
LeNet5,MiniMNISTDataset,NBITS,NONE,NBITS,NONE,90.25,88.175,"[84.5, 88.875, 90.25, 87.5, 89.75]",263682.0
LeNet5,MiniMNISTDataset,NONE,NONE,NONE,NONE,95.625,94.7,"[95.125, 94.25, 95.625, 93.125, 95.375]",1053378.0
LeNet5,MiniMNISTDataset,BINARY,BINARIZE,BINARY,BINARIZE,89.25,87.025,"[87.875, 85.875, 89.25, 85.875, 86.25]",53154.0
LeNet5,MiniMNISTDataset,NBITS,BINARIZE,NBITS,BINARIZE,72.125,68.975,"[68.625, 69.5, 72.125, 66.125, 68.5]",283482.0
LeNet5,MiniMNISTDataset,NONE,BINARIZE,NONE,BINARIZE,90.125,88.075,"[89.125, 88.625, 90.125, 85.375, 87.125]",1073178.0
LeNet5,MiniMNISTDataset,BINARY,BINARIZE_RESTE,BINARY,BINARIZE_RESTE,85.625,83.975,"[85.0, 83.5, 85.625, 81.75, 84.0]",53154.0
LeNet5,MiniMNISTDataset,NBITS,BINARIZE_RESTE,NBITS,BINARIZE_RESTE,71.5,69.575,"[69.75, 69.875, 71.5, 68.5, 68.25]",283482.0
LeNet5,MiniMNISTDataset,NONE,BINARIZE_RESTE,NONE,BINARIZE_RESTE,91.5,90.85,"[90.75, 91.375, 90.75, 89.875, 91.5]",1073178.0
LeNet5,MiniMNISTDataset,BINARY,RELU,BINARY,RELU,94.875,94.4,"[94.125, 94.5, 94.875, 93.875, 94.625]",251010.0
LeNet5,MiniMNISTDataset,NBITS,RELU,NBITS,RELU,90.375,85.5,"[84.875, 83.375, 90.375, 86.75, 82.125]",618930.0
LeNet5,MiniMNISTDataset,NONE,RELU,NONE,RELU,97.5,96.325,"[97.5, 94.875, 97.125, 96.0, 96.125]",1880370.0
